ISIN,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CH0012549785,,155113.0,156104.0,190865.0,315057.0,404492.0,463846.0,555096.0,571139.0,786331.0,1076355.0,1037934.0,1285727.0,1730404.0,1692738.0,1915213.0,2072154.0,2156600.0,2007021.0,2161872.0,2766900.0,2712375.0,2988016.0,2848533.0,3411609.0,3964806.0,4210656.0,4066015.0
CH0013841017,,1527715.0,1317423.0,1034243.0,1087187.0,1854732.0,1777971.0,1830425.0,1960098.0,1833514.0,2651910.0,2522441.0,2546106.0,2858037.0,2943365.0,4347015.0,3970148.0,3937341.0,3726769.0,4176827.0,5477493.0,5575214.0,6128870.0,5015697.0,5884185.0,6840877.0,7759816.0,7210484.0
CH0014786500,,314570.0,253730.0,272822.0,268046.0,444129.0,522389.0,518087.0,473355.0,490602.0,618909.0,628381.0,692111.0,753663.0,750733.0,689038.0,633691.0,582032.0,500230.0,484137.0,505670.0,467443.0,475996.0,503311.0,492792.0,558184.0,901902.0,930621.0
CH0014852781,,17095577.0,15996697.0,15435310.0,13263330.0,15907834.0,17233317.0,19227014.0,16805059.0,16681367.0,17823237.0,16029568.0,16718170.0,18627364.0,18963494.0,20568859.0,21820306.0,19443327.0,19670638.0,19266776.0,19389576.0,19790904.0,24807431.0,25365544.0,22315084.0,23203796.0,16103034.0,11569240.0
CH0018294154,,58636.0,54752.0,66925.0,92803.0,130945.0,149269.0,204266.0,187519.0,217760.0,240243.0,264141.0,281921.0,290287.0,323302.0,378743.0,403152.0,401428.0,295683.0,374662.0,345578.0,317195.0,366595.0,388633.0,421356.0,454669.0,428280.0,407372.0
CH0022268228,,,,,,104232.0,202306.0,262959.0,357246.0,855796.0,1453099.0,1501698.0,1044377.0,1188752.0,1179751.0,1288710.0,1052466.0,1111001.0,973095.0,1066041.0,1705158.0,1534441.0,1680988.0,1631882.0,1778527.0,1930022.0,2830132.0,2982798.0
CH0024608827,,,,,,,71080.0,89972.0,119001.0,220035.0,391269.0,367435.0,396064.0,532536.0,473468.0,607322.0,521891.0,599751.0,591213.0,958622.0,1302474.0,1333846.0,1667115.0,1571355.0,2859634.0,2057759.0,2246384.0,2342365.0
CH0024638212,,4647574.0,4534034.0,5100770.0,4688639.0,5764588.0,6022264.0,6899747.0,6731665.0,8595449.0,12337387.0,11973222.0,12138964.0,8654094.0,8373065.0,8980878.0,9307250.0,9616199.0,8943070.0,9724364.0,10761853.0,10944200.0,11668665.0,11838292.0,12223092.0,12472535.0,13278447.0,12323851.0
CH0025238863,,3603633.0,3049568.0,3844397.0,3877027.0,5080563.0,5973334.0,7651211.0,8625363.0,11945284.0,15818966.0,15452422.0,13569138.0,17977907.0,17732354.0,18960740.0,19028796.0,18930607.0,16395628.0,16704275.0,19950737.0,20898502.0,21838242.0,22677450.0,35682595.0,43309796.0,27551565.0,27203290.0
CH0025751329,,404854.0,389183.0,585220.0,903055.0,1217293.0,1324091.0,1501183.0,1651396.0,2037208.0,2514641.0,2272691.0,1869118.0,2580038.0,2240201.0,2235130.0,2193739.0,2125279.0,1920130.0,2139712.0,2612114.0,2714445.0,2972176.0,4580446.0,5758836.0,5037983.0,4398176.0,4409148.0
